Date,Payee Name,Amount,Rupess in word,Subject
Jan 1 2018,John Doe,23010.52,Twenty-three thousand ten dollars and 52 cents,January Rent Payment
Jan 1 2018,John Doe,23010.52,Twenty-three thousand ten dollars and 52 cents,January Rent Payment
Jan 1 2018,John Doe,23010.52,Twenty-three thousand ten dollars and 52 cents,January Rent Payment
Jan 1 2018,John Doe,23010.52,Twenty-three thousand ten dollars and 52 cents,January Rent Payment
Jan 1 2018,John Doe,23010.52,Twenty-three thousand ten dollars and 52 cents,January Rent Payment
Jan 1 2018,John Doe,23010.52,Twenty-three thousand ten dollars and 52 cents,January Rent Payment
Jan 1 2018,John Doe,23010.52,Twenty-three thousand ten dollars and 52 cents,January Rent Payment
Jan 1 2018,John Doe,23010.52,Twenty-three thousand ten dollars and 52 cents,January Rent Payment
Jan 1 2018,John Doe,23010.52,Twenty-three thousand ten dollars and 52 cents,January Rent Payment
Jan 1 2018,John Doe,23010.52,Twenty-three thousand ten dollars and 52 cents,January Rent Payment
